Temperature,Humidity,Leaf_Color,Leaf_Spot,Leaf_Curl,Disease
23,41,Brown,No,Yes,Rust
27,48,Brown,Yes,Yes,Rust
38,67,Green,Yes,Yes,Early Blight
26,54,Brown,Yes,Yes,Rust
37,66,Green,No,No,Healthy
20,88,Green,No,No,Healthy
28,49,Green,No,Yes,Healthy
22,64,Green,No,No,Healthy
28,91,Green,No,Yes,Healthy
32,45,Brown,No,No,Rust
38,52,Brown,Yes,Yes,Rust
27,89,Yellow,Yes,Yes,Leaf Spot
23,64,Yellow,No,No,Powdery Mildew
25,63,Yellow,Yes,No,Leaf Spot
22,78,Brown,Yes,Yes,Rust
25,69,Yellow,No,Yes,Early Blight
30,93,Green,Yes,Yes,Early Blight
30,65,Yellow,Yes,Yes,Leaf Spot
38,85,Yellow,Yes,No,Leaf Spot
32,81,Yellow,Yes,No,Leaf Spot
24,55,Brown,No,No,Rust
38,65,Yellow,Yes,Yes,Leaf Spot
36,71,Green,Yes,Yes,Early Blight
24,80,Green,No,Yes,Healthy
32,64,Brown,No,No,Rust
37,95,Green,Yes,No,Powdery Mildew
30,47,Yellow,No,Yes,Early Blight
34,40,Brown,No,Yes,Rust
36,46,Brown,No,Yes,Rust
24,63,Green,Yes,No,Powdery Mildew
35,41,Green,No,No,Healthy
27,43,Green,Yes,Yes,Early Blight
35,92,Green,Yes,Yes,Early Blight
35,75,Green,No,No,Healthy
26,74,Brown,Yes,No,Rust
32,82,Brown,No,No,Rust
36,68,Green,Yes,Yes,Early Blight
22,61,Green,Yes,Yes,Early Blight
20,44,Brown,Yes,Yes,Rust
22,42,Yellow,Yes,Yes,Leaf Spot
28,82,Yellow,Yes,Yes,Leaf Spot
38,76,Yellow,Yes,No,Leaf Spot
33,52,Green,Yes,No,Powdery Mildew
31,67,Yellow,No,Yes,Early Blight
23,43,Yellow,No,Yes,Early Blight
27,52,Green,No,Yes,Healthy
33,51,Yellow,No,Yes,Early Blight
22,68,Brown,Yes,Yes,Rust
37,93,Green,Yes,Yes,Early Blight
25,66,Yellow,No,Yes,Early Blight
32,43,Green,No,Yes,Healthy
32,56,Yellow,No,No,Powdery Mildew
37,82,Brown,No,Yes,Rust
26,58,Green,Yes,Yes,Early Blight
30,43,Green,No,Yes,Healthy
21,72,Green,Yes,Yes,Early Blight
22,83,Green,No,Yes,Healthy
38,55,Brown,Yes,Yes,Rust
33,82,Brown,No,No,Rust
26,82,Brown,No,Yes,Rust
28,65,Green,No,No,Healthy
30,88,Green,Yes,No,Powdery Mildew
38,46,Green,Yes,No,Powdery Mildew
24,62,Green,Yes,No,Powdery Mildew
29,50,Yellow,No,Yes,Early Blight
37,59,Brown,Yes,Yes,Rust
28,47,Green,Yes,No,Powdery Mildew
29,78,Green,No,Yes,Healthy
28,72,Yellow,No,Yes,Early Blight
22,80,Yellow,No,Yes,Early Blight
20,61,Green,No,Yes,Healthy
34,75,Brown,No,Yes,Rust
23,44,Brown,Yes,Yes,Rust
31,77,Brown,Yes,No,Rust
24,42,Yellow,No,Yes,Early Blight
